Job Name,EP94-04794A_PP3235-77A_B_01B,Type,Board No.,Ref.,Pos X,Pos Y,Mark Name,ASSIGN,,,,,,
X,360,Fiducial,0,V1,57.900,36.900,M1,NXT16M,,,,,,
Y,159,Fiducial,0,V2,26.000,133.500,M1,NXT16M,,,,,,
T,2,Fiducial,0,V3,337.600,17.500,M1,NXT16M,,,,,,
,,Panel ID,0,PID,287.500,18.500,2D Label,,,,,,,
Level,Ref.,Pos X,Pos Y,,,,,,,,,,,
Global,BackupPin1,,,,,,,,,,,,,
Global,BackupPin2,,,,,,,,,,,,,
Global,BackupPin3,,,,,,,,,,,,,
Global,BackupPin4,,,,,,,,,,,,,
Global,BackupPin5,,,,,,,,,,,,,
Global,BackupPin6,,,,,,,,,,,,,
Global,BackupPin7,,,,,,,,,,,,,
Global,BackupPin8,,,,,,,,,,,,,
Global,BackupPin9,,,,,,,,,,,,,
Global,BackupPin10,,,,,,,,,,,,,
Global,BackupPin11,,,,,,,,,,,,,
Global,BackupPin12,,,,,,,,,,,,,
Global,BackupPin13,,,,,,,,,,,,,
Global,BackupPin14,,,,,,,,,,,,,
Global,BackupPin15,,,,,,,,,,,,,
Global,BackupPin16,,,,,,,,,,,,,
Global,BackupPin17,,,,,,,,,,,,,
Global,BackupPin18,,,,,,,,,,,,,
Global,BackupPin19,,,,,,,,,,,,,
Global,BackupPin20,,,,,,,,,,,,,
Ref.,Pos X,Pos Y,Rotation,Part Number,Place Before,Board,Part Name,Cond,Vender,Feeder,Pos Z,Carry Mode,Stack Target,
D34,214.000,120.565,270,0404-001999,,1,sm_dio_SMB_PO,SMD,,E1208,0,,,
D35,270.500,120.600,270,0404-001999,,1,sm_dio_SMB_PO,SMD,,E1208,0,,,
D36,274.100,121.500,0,0404-001172,,1,sod523_w1.6x0.8,SMD,,E0804_L,0,,,
P2,11.389,117.860,90,3711-009756,,1,dcon_pin44_MIR-8P12SH-05_V2_P,SMD,,E7220,0,,,
P3,348.390,117.860,90,3711-009756,,1,dcon_pin44_MIR-8P12SH-05_V2_P,SMD,,E7220,0,,,
P4,28.000,21.450,180,3712-002003,,1,dcon_pin7_63A_shield_connector_V2_P,SMD,,E2416,0,,,
P5,28.000,9.450,0,3712-002003,,1,dcon_pin7_63A_shield_connector_V2_P,SMD,,E2416,0,,,
Q31,225.500,120.500,180,0505-003891,,1,sm_powerpak8_5.15x6.15_V2_novia,SMD,,E1208,0,,,
Q32,259.000,120.500,180,0505-003891,,1,sm_powerpak8_5.15x6.15_V2_novia,SMD,,E1208,0,,,
R201,210.500,126.100,0,2007-007142,,1,R1005_ms_V5,SMD,,P0802,0,,,
R202,217.100,125.100,0,2007-007992,,1,R1608_RES_ms_V1,SMD,,P0804,0,,,
R203,223.100,125.100,0,2007-007992,,1,R1608_RES_ms_V1,SMD,,P0804,0,,,
R204,239.000,126.000,90,2007-012200,,1,R6432_RES_p3.62x3.18_V3,SMD,,E1204_L,0,,,
R205,242.500,126.000,90,2007-012200,,1,R6432_RES_p3.62x3.18_V3,SMD,,E1204_L,0,,,
R206,257.100,125.100,0,2007-007992,,1,R1608_RES_ms_V1,SMD,,P0804,0,,,
R207,263.100,125.100,0,2007-007992,,1,R1608_RES_ms_V1,SMD,,P0804,0,,,
R208,208.100,122.400,90,2007-012187,,1,R3216_RES_ms_V1,SMD,,P0804,0,,,
R209,274.100,123.700,0,2007-007142,,1,R1005_ms_V5,SMD,,P0802,0,,,
R210,276.400,119.900,90,2007-012187,,1,R3216_RES_ms_V1,SMD,,P0804,0,,,
R215,217.500,114.500,90,2007-000033,,1,R3216_RES_ms_V1,SMD,,P0804,0,,,
R216,219.500,114.500,90,2007-000033,,1,R3216_RES_ms_V1,SMD,,P0804,0,,,
R217,221.500,114.500,90,2007-000033,,1,R3216_RES_ms_V1,SMD,,P0804,0,,,
R218,223.500,114.500,90,2007-000033,,1,R3216_RES_ms_V1,SMD,,P0804,0,,,
R219,225.500,114.500,90,2007-000033,,1,R3216_RES_ms_V1,SMD,,P0804,0,,,
R220,227.500,114.500,90,2007-000033,,1,R3216_RES_ms_V1,SMD,,P0804,0,,,
R221,257.000,114.500,90,2007-000033,,1,R3216_RES_ms_V1,SMD,,P0804,0,,,
R222,259.000,114.500,90,2007-000033,,1,R3216_RES_ms_V1,SMD,,P0804,0,,,
R223,261.000,114.500,90,2007-000033,,1,R3216_RES_ms_V1,SMD,,P0804,0,,,
R224,263.000,114.500,90,2007-000033,,1,R3216_RES_ms_V1,SMD,,P0804,0,,,
R225,265.000,114.500,90,2007-000033,,1,R3216_RES_ms_V1,SMD,,P0804,0,,,
R226,267.000,114.500,90,2007-000033,,1,R3216_RES_ms_V1,SMD,,P0804,0,,,
